PART 1 -- synthetic, sigma TYPED IN, sharp kick, at the real gamma=0.2 geometry
          N_c = 0.83 (tau = 5.0).  every number below should go to 1.0000.

                           | 2       3       4       6       8       10      12      16      20      26     
wob=1.5 sharp=25 s=301     | 4.1499  1.8203  1.0683  1.0443  1.0086  0.9988  0.9985  0.9984  0.9984  0.9984 
wob=1.5 sharp=25 s=302     | 4.1545  1.8125  1.0677  1.0437  1.0082  0.9984  0.9980  0.9980  0.9980  0.9980 

wob=3.0 sharp=25 s=301     | 5.3593  4.5890  4.3595  1.2307  1.0393  0.9988  0.9994  0.9984  0.9984  0.9984 
wob=3.0 sharp=25 s=302     | 5.3631  4.5937  4.3643  1.2300  1.0388  0.9985  0.9990  0.9981  0.9981  0.9981 

wob=3.0 sharp=60 s=301     | 5.2222  4.7118  4.5637  2.3562  1.2733  1.0227  1.0241  0.9990  0.9984  0.9984 
wob=3.0 sharp=60 s=302     | 5.2261  4.7163  4.5683  2.3352  1.2711  1.0222  1.0237  0.9987  0.9981  0.9981 


PART 2 -- the clock.  isostable predicts 0.9813 at gamma=0.05, 0.9315 at 0.20

                           | 2       3       4       6       8       10      12      16      20      26     
gamma=0.05 seed=5          | 0.9801  0.9804  0.9803  0.9803  0.9803  0.9803  0.9803  0.9803  0.9803  0.9803 
