SCAN A -- cycles per correlation time, wobble fixed at 1.5 sigma
  the real runs sit at N_c = 3.31 (gamma=0.05), 1.65 (0.10), 0.83 (0.20)

N_c     tau    seed  | plain    mixed    L0       h6      
4.00    24.2   101   | 1.0043   1.0043   1.0050   1.0043  
4.00    24.2   102   | 1.0018   1.0021   1.0049   1.0018  
4.00    24.2   103   | 1.0033   1.0034   1.0068   1.0033  
4.00    24.2   mean  | 1.0031   1.0032   1.0055   1.0031     <- mean

3.31    20.0   101   | 1.0025   1.0025   1.0017   1.0025  
3.31    20.0   102   | 1.0025   1.0028   1.0051   1.0025  
3.31    20.0   103   | 1.0022   1.0022   1.0036   1.0022  
3.31    20.0   mean  | 1.0024   1.0025   1.0035   1.0024     <- mean

2.00    12.1   101   | 0.9992   0.9992   0.9973   0.9992  
2.00    12.1   102   | 1.0020   1.0020   1.0028   1.0020  
2.00    12.1   103   | 0.9971   0.9965   0.9874   0.9970  
2.00    12.1   mean  | 0.9994   0.9992   0.9958   0.9994     <- mean

1.65    10.0   101   | 0.9996   0.9996   1.0038   0.9996  
1.65    10.0   102   | 1.0012   1.0019   1.0040   1.0012  
1.65    10.0   103   | 0.9976   0.9968   0.9878   0.9976  
1.65    10.0   mean  | 0.9995   0.9994   0.9985   0.9995     <- mean

1.20    7.3    101   | 0.9969   0.9951   0.9880   0.9969  
1.20    7.3    102   | 0.9993   0.9994   1.0043   0.9993  
1.20    7.3    103   | 1.0005   1.0004   1.0005   1.0005  
1.20    7.3    mean  | 0.9989   0.9983   0.9976   0.9989     <- mean

0.83    5.0    101   | 0.9981   0.9941   0.9846   0.9981  
0.83    5.0    102   | 0.9943   0.9943   1.0104   0.9943  
0.83    5.0    103   | 1.0038   1.0026   0.9960   1.0038  
0.83    5.0    mean  | 0.9988   0.9970   0.9970   0.9987     <- mean

0.60    3.6    101   | 1.0117   1.4257   25.1080  1.0118  
0.60    3.6    102   | 0.9945   0.7342   0.0000   0.9945  
0.60    3.6    103   | 1.0064   0.7499   50.2549  1.0064  
0.60    3.6    mean  | 1.0042   0.9699   25.1210  1.0042     <- mean


SCAN B -- wobble amplitude, at the two N_c the real runs actually sit at
N_c     wobble   seed  | plain    mixed    L0       h6      
3.31    0.0      mean  | 0.9991   0.9991   0.9995   0.9991  
3.31    0.5      mean  | 0.9991   0.9991   0.9995   0.9991  
3.31    1.5      mean  | 0.9991   0.9991   0.9995   0.9991  
3.31    3.0      mean  | 0.9991   0.9991   0.9995   0.9991  
3.31    6.0      mean  | 0.9991   0.9991   0.9995   0.9991  

0.83    0.0      mean  | 0.9958   0.9917   0.9725   0.9958  
0.83    0.5      mean  | 0.9958   0.9917   0.9725   0.9958  
0.83    1.5      mean  | 0.9958   0.9911   0.9741   0.9958  
0.83    3.0      mean  | 0.9958   0.9911   0.9758   0.9958  
0.83    6.0      mean  | 0.9962   0.9916   0.9791   0.9962  

